algoritme,score,housecount,climb,swaps
HillClimber,27585195.0,60,37,1
algoritme,score,housecount,climb,swaps
HillClimber,27588900.0,60,70,2
algoritme,score,housecount,climb,swaps
HillClimber,27596880.0,60,72,3
algoritme,score,housecount,climb,swaps
HillClimber,27610275.0,60,129,4
algoritme,score,housecount,climb,swaps
HillClimber,27618255.0,60,141,5
algoritme,score,housecount,climb,swaps
HillClimber,27627945.0,60,147,6
algoritme,score,housecount,climb,swaps
HillClimber,27635925.0,60,194,7
algoritme,score,housecount,climb,swaps
HillClimber,27640200.0,60,253,8
algoritme,score,housecount,climb,swaps
HillClimber,27653595.0,60,257,9
algoritme,score,housecount,climb,swaps
HillClimber,27661575.0,60,272,10
algoritme,score,housecount,climb,swaps
HillClimber,27665850.0,60,300,11
algoritme,score,housecount,climb,swaps
HillClimber,27758730.0,60,347,12
algoritme,score,housecount,climb,swaps
HillClimber,27780105.0,60,365,13
algoritme,score,housecount,climb,swaps
HillClimber,27791790.0,60,430,14
