algoritme;60 SMB;housecount
Random;26597250.0;60
Random;27676680.0;60
Random;32691930.0;60
Random;26789970.0;60
Random;28139340.0;60
Random;29082840.0;60
Random;26416170.0;60
Random;29549730.0;60
Random;28228710.0;60
Random;26962830.0;60
Random;27693900.0;60
Random;31432080.0;60
Random;27299730.0;60
Random;27594990.0;60
Random;27511680.0;60
Random;26706270.0;60
Random;27385200.0;60
Random;29281860.0;60
Random;27042960.0;60
Random;27757320.0;60
Random;26192640.0;60
Random;30229170.0;60
Random;26070200.0;60
Random;29352750.0;60
Random;27318540.0;60
Random;27495330.0;60
Random;29029740.0;60
Random;27735180.0;60
Random;29302020.0;60
Random;27709320.0;60
Random;28196610.0;60
Random;27161220.0;60
Random;28266120.0;60
Random;27174240.0;60
Random;28522560.0;60
Random;28749030.0;60
Random;29490330.0;60
Random;30563580.0;60
Random;27889110.0;60
Random;27640470.0;60
Random;27634080.0;60
Random;28749270.0;60
Random;27541770.0;60
Random;27115320.0;60
Random;27685770.0;60
Random;29411730.0;60
Random;28518120.0;60
Random;29494500.0;60
Random;28475100.0;60
Random;27644490.0;60
Random;27430530.0;60
Random;27766380.0;60
Random;28820250.0;60
Random;26263500.0;60
Random;26786430.0;60
Random;28429650.0;60
Random;29750970.0;60
Random;28135500.0;60
Random;26511390.0;60
Random;27461340.0;60
Random;26466540.0;60
Random;29142900.0;60
Random;27373230.0;60
Random;30745950.0;60
Random;28514040.0;60
Random;27156750.0;60
Random;28292250.0;60
Random;28224840.0;60
Random;28697610.0;60
Random;27634500.0;60
Random;29792040.0;60
Random;28570490.0;60
Random;28336350.0;60
Random;27598920.0;60
Random;28570350.0;60
Random;26673690.0;60
Random;28267530.0;60
Random;27835590.0;60
Random;26961900.0;60
Random;27216510.0;60
Random;30889590.0;60
Random;29467230.0;60
Random;28036020.0;60
Random;26104290.0;60
Random;32879060.0;60
Random;27851520.0;60
Random;30069120.0;60
Random;28889100.0;60
Random;27412290.0;60
Random;28494060.0;60
Random;29259570.0;60
Random;30625500.0;60
Random;27213450.0;60
Random;28602660.0;60
Random;28594920.0;60
Random;28580610.0;60
Random;28482390.0;60
Random;30103890.0;60
Random;26535030.0;60
Random;27649560.0;60
